cold,감기
come,오다
cook,요리
copy,복사
cost,비용
date,날짜
deal,거래
deep,깊은
desk,책상
down,아래
dust,먼지
duty,의무
each,각각
east,동쪽
easy,쉽다
exit,탈출
face,얼굴
fact,사실
fall,가을
farm,농장
feet,다리
find,찾다
fine,좋다
fish,생선
flow,흐름
fund,기금
gain,수익
game,놀이
gift,선물
girl,소녀
give,주다
goal,목적
gray,회색
hair,머리
harm,피해
hell,지옥
help,도움
high,높은
hole,구멍
hope,소망
hour,시각
join,합류
kiss,키스
knee,무릎
lady,부인
late,늦은
left,왼쪽
life,생명
loss,손해
love,사랑
luck,행운
mail,우편
male,남자
many,많은
meal,식사
meat,고기
menu,메뉴
milk,우유
name,이름
news,뉴스
next,다음
once,한번
pain,고통
part,부분
pick,선택
pink,핑크
plan,계획
read,읽다
rest,휴식
ring,반지
rock,바위
roof,지붕
root,뿌리
rose,장미
rule,규칙
salt,소금
sand,모래
sell,팔다
shop,가게
sign,싸인
size,크기
skin,피부
slow,늦다
song,노래
soon,금방
tall,크다
test,시험
them,그들
thin,얇은
this,이것
time,시간
tiny,작은
tool,도구
tour,관광
tree,나무
trip,여행
very,매우
wave,파도
weak,약한
wear,입다
west,서쪽
when,언제
wide,넓은
wife,아내
wind,바람
wing,날개
wish,바램
wood,나무
word,단어
year,연도
